filename,status,disposition,actual_url,source_page,request_url,activity,chapter,slot,requested_role,shot_wanted,notes,width,height,bytes
robertos-01.jpg,downloaded,selected,https://cdn.prod.website-files.com/68b1adb67aae8a1c4f33bfa5/68fe44ff68e43bb56d12e877_dubai%203.jpg,https://robertosrestaurants.com/dubai/home,https://robertosrestaurants.com/dubai/home,Roberto's,Long dinners,1,hero · official,the current DIFC dining room,Official current Dubai site photograph; the wide formal dining room is the strongest establishing frame and remains useful under centered card and sheet crops.,1416,902,464056
robertos-02.jpg,downloaded,selected,https://cdn.prod.website-files.com/68b1adb67aae8a1c4f33bfa5/692008add487da2796ad4ce6_Home%20Gallery%20Image%20-%20Drink%20-%201.jpg,https://robertosrestaurants.com/dubai/home,https://robertosrestaurants.com/dubai/home,Roberto's,Long dinners,2,carousel · official,a signature cocktail close-up,Official current Dubai gallery photograph; the isolated cocktail adds a materially different bar-focused frame after the room overview.,1416,902,129527
robertos-03.jpg,downloaded,selected,https://cdn.prod.website-files.com/68b1adb67aae8a1c4f33bfa5/692003dbd83a7bfc50b4cc4e_Home%20Gallery%20Image%20-%20Food%20-1.jpg,https://robertosrestaurants.com/dubai/home,https://robertosrestaurants.com/dubai/home,Roberto's,Long dinners,3,carousel · official,a plated seafood course,Official current Dubai gallery photograph; a bright plated course gives the sheet a food-specific beat distinct from the interior and cocktail.,1416,902,358071
robertos-04.jpg,downloaded,selected,https://cdn.prod.website-files.com/68b1adb67aae8a1c4f33bfa5/68fe55c8edefe9b3e50f26d5_dubai%202.jpg,https://robertosrestaurants.com/dubai/home,https://robertosrestaurants.com/dubai/home,Roberto's,Long dinners,4,carousel · official,the restaurant's interior passage and display,Official current Dubai site photograph; the geometric passage and food display add architectural context without repeating the main dining room.,1416,902,478492
salmonguru-01.jpg,downloaded,selected,https://luxhabitat.ae/resizedimages/1440w/article/982/source/a882c9560134c264c058073275f2409a.jpg,https://www.luxhabitat.ae/the-journal/the-space-salmon-guru/,https://salmon-guru.ae/,Salmon Guru,Genuinely strange,1,hero · supplied by venue,the neon central bar,Exact-venue editorial photograph explicitly credited by Luxhabitat as courtesy Salmon Guru; the wide neon bar is the clearest establishing frame.,1280,852,397897
salmonguru-02.jpg,downloaded,selected,https://luxhabitat.ae/resizedimages/900w/article/982/source/6fcc1f128861af5d223ea8b97709cd5a.jpg,https://www.luxhabitat.ae/the-journal/the-space-salmon-guru/,https://salmon-guru.ae/,Salmon Guru,Genuinely strange,2,carousel · supplied by venue,the red-lantern neon seating room,Exact-venue editorial photograph explicitly credited by Luxhabitat as courtesy Salmon Guru; the vertical Asian-inspired nook establishes a second distinct room.,852,1280,327601
salmonguru-03.jpg,downloaded,selected,https://salmon-guru.ae/media/images/gallery/venue-interior-1.webp,https://salmon-guru.ae/,https://salmon-guru.ae/,Salmon Guru,Genuinely strange,3,carousel · official,a bartender working behind the central bar,Official current venue photograph converted from WebP to JPEG and resized to a 2000 px long edge; the human-action frame differentiates the set from empty interiors.,1600,2000,837252
salmonguru-04.jpg,downloaded,selected,https://salmon-guru.ae/media/images/hero/hero-poster.webp,https://salmon-guru.ae/,https://salmon-guru.ae/,Salmon Guru,Genuinely strange,4,carousel · official,the quieter tropical dining room,Official current hero poster converted from WebP to JPEG; the warm butterfly-wall seating area establishes the venue's third contrasting room.,1920,1080,336452
brunchandcake-01.jpg,downloaded,selected,https://brunchandcake.com/wp-content/uploads/2025/07/Jumeirah-Islands-4.jpg,https://brunchandcake.com/jumeirah-islands/,https://brunchandcake.com/jumeirah-islands/,Brunch & Cake,Long dinners,1,hero · official,the branded Jumeirah Islands exterior,Official exact-branch gallery photograph; the wide daylight exterior makes the Jumeirah Islands location unmistakable and remains legible under centered card crops.,900,600,122935
brunchandcake-02.jpg,downloaded,selected,https://brunchandcake.com/wp-content/uploads/2025/07/5T8A9676.jpg,https://brunchandcake.com/jumeirah-islands/,https://brunchandcake.com/jumeirah-islands/,Brunch & Cake,Long dinners,2,carousel · official,the plant-filled dining room with service counter,Official exact-branch gallery photograph; a cook at the counter adds activity while the frame establishes the pale indoor-outdoor dining room.,900,600,111831
brunchandcake-03.jpg,downloaded,selected,https://brunchandcake.com/wp-content/uploads/2025/07/5T8A7981.jpg,https://brunchandcake.com/jumeirah-islands/,https://brunchandcake.com/jumeirah-islands/,Brunch & Cake,Long dinners,3,carousel · official,the branded coffee and bakery counter,Official exact-branch gallery photograph; the branded espresso machine and pastry counter distinguish the in-house bakery and café service from the room views.,900,600,137264
brunchandcake-04.jpg,downloaded,selected,https://brunchandcake.com/wp-content/uploads/2025/07/Jumeirah-Islands.jpg,https://brunchandcake.com/jumeirah-islands/,https://brunchandcake.com/jumeirah-islands/,Brunch & Cake,Long dinners,4,carousel · official,the dining room facing the lake,Official exact-branch gallery photograph; the wide table-and-lake view closes the set with the Jumeirah Islands setting that differentiates this branch.,900,600,105571
