filename,status,actual_url,source_page,request_url,activity,chapter,slot,role,shot_wanted,notes,width,height,bytes
moonrise-01.jpg,downloaded,https://cdn.squaremeal.ae/restaurants/624/images/dsc07163-2-web-1728x_27062022090402.jpg,https://www.squaremeal.ae/restaurants/moonrise_624,https://www.moon-rise.xyz/,Moonrise,Long dinners,1,hero · official,the signature wide shot,Exact editorial view of Moonrise's candlelit counter; selected as the hero because the current official site offers no usable photographic gallery.,1728,768,111911
moonrise-02.jpg,downloaded,https://images.squarespace-cdn.com/content/v1/6260a0f4f2a1571c44b03c6e/15f7233a-608b-4335-a432-b9457391e6e0/IMG_4130.jpeg,https://www.travelsforstars.com/blog/2025/05/26/moonrise-dubai,https://www.moon-rise.xyz/,Moonrise,Long dinners,2,carousel · official,"a second angle — interior, or the thing itself close up",Exact Moonrise open-kitchen and dining-counter view from a recent independent restaurant review.,2000,1500,452759
moonrise-03.jpg,downloaded,https://images.squarespace-cdn.com/content/v1/6260a0f4f2a1571c44b03c6e/1756795860048-0CEMUTFW6XKZ7LOKG2YE/IMG_4136.jpeg,https://www.travelsforstars.com/blog/2025/05/26/moonrise-dubai,https://www.tripadvisor.com/Search?q=Moonrise%20Al%20Satwa,Moonrise,Long dinners,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Exact Moonrise course photographed during a recent independent visit; used as honest guest context when review-platform binaries were inaccessible.,2000,1500,390047
moonrise-04.jpg,not_found,,,https://www.instagram.com/explore/tags/moonrise,Moonrise,Long dinners,4,carousel · candid,"something from the venue's own Instagram, or a tagged post","No attributable, downloadable Moonrise social candid was found; the official site is illustration-led and the Instagram tag was inaccessible.",,,
ossiano-01.jpg,downloaded,https://www.thenationalnews.com/resizer/v2/ELYFWMTVPFBGZI425A3JOSJY2E.jpg?auth=fc9720652f420cb64a2af3e0bda8d6e841a05f37b2deafc628f65ea71a8f4c37&focal=3530%2C2880&height=900&width=1600,https://www.thenationalnews.com/lifestyle/food/2025/01/07/ossiano-atlantis-palm-50-best-restaurants-award/,https://ossiano.info/,Ossiano,Long dinners,1,hero · official,the signature wide shot,Exact wide Ossiano aquarium dining-room image credited to Atlantis The Palm by The National.,1600,900,287339
ossiano-02.jpg,downloaded,https://ossiano.info/dish-1.webp,https://ossiano.info/,https://ossiano.info/,Ossiano,Long dinners,2,carousel · official,"a second angle — interior, or the thing itself close up",Exact plated-course close-up from Ossiano's official website.,1920,1280,332446
ossiano-03.jpg,not_found,,,https://www.tripadvisor.com/Search?q=Ossiano%20Atlantis%20The%20Palm,Ossiano,Long dinners,3,carousel · candid,"a real visitor photo — people in frame, imperfect light","No attributable, downloadable visitor candid meeting the 800px quality floor was found on the requested review sources.",,,
ossiano-04.jpg,not_found,,,https://www.instagram.com/explore/tags/ossiano,Ossiano,Long dinners,4,carousel · candid,"something from the venue's own Instagram, or a tagged post","No distinct, attributable Ossiano social image meeting the quality floor was found; the requested Instagram tag was inaccessible.",,,
almahara-01.jpg,downloaded,https://cdn.jumeirah.com/api/public/content/64da55d94bf44e989aa60343878d43e8?v=c2d3f4ad,https://www.jumeirah.com/en/stay/dubai/burj-al-arab-jumeirah/dining/burj-al-arab-al-mahara,https://www.jumeirah.com/en/dine/dubai/burj-al-arab-lolivo-at-al-mahara,L'Olivo at Al Mahara,Long dinners,1,hero · official,the signature wide shot,Exact official aquarium-window dining-room view at Al Mahara.,1620,1080,156793
almahara-02.jpg,downloaded,https://cdn.jumeirah.com/api/public/content/812c5c7ce6fe42418d7b6d8b37d8ad52?v=616cc447,https://www.jumeirah.com/en/stay/dubai/burj-al-arab-jumeirah/dining/burj-al-arab-al-mahara,https://www.jumeirah.com/en/dine/dubai/burj-al-arab-lolivo-at-al-mahara,L'Olivo at Al Mahara,Long dinners,2,carousel · official,"a second angle — interior, or the thing itself close up",Exact official candlelit table view with the aquarium behind it.,1620,1080,181522
almahara-03.jpg,downloaded,https://cdn.jumeirah.com/api/public/content/366ab5b8b53e4d90a52bb4ff2d48601a?v=99980f86,https://www.jumeirah.com/en/stay/dubai/burj-al-arab-jumeirah/dining/burj-al-arab-al-mahara,https://www.tripadvisor.com/Search?q=L'Olivo%20at%20Al%20Mahara%20Burj%20Al%20Arab,L'Olivo at Al Mahara,Long dinners,3,carousel · candid,"a real visitor photo — people in frame, imperfect light","Exact official chef-plating action close-up, substituting for an inaccessible review-platform candid.",1620,1080,288041
thepods-01.jpg,downloaded,https://thepods.ae/wp-content/uploads/2026/04/5-2.jpg,https://thepods.ae/menus/,https://thepodsdubai.com/,The Pods,Long dinners,1,hero · official,the signature wide shot,Exact official wide view inside a private dining pod on Bluewaters Island.,2000,1196,381847
thepods-02.jpg,downloaded,https://thepods.ae/wp-content/uploads/2026/04/1-2.jpg,https://thepods.ae/menus/,https://thepodsdubai.com/,The Pods,Long dinners,2,carousel · official,"a second angle — interior, or the thing itself close up","Exact official table-and-food view inside a pod, distinct from the empty-room hero.",2000,1196,435517
thepods-03.jpg,downloaded,https://thepods.ae/wp-content/uploads/2026/04/13.jpg,https://thepods.ae/menus/,https://www.tripadvisor.com/Search?q=The%20Pods%20Bluewaters%20Island,The Pods,Long dinners,3,carousel · candid,"a real visitor photo — people in frame, imperfect light","Exact official overhead dinner scene with guests' hands in frame, used as candid activity context.",2000,1196,358598
supperclubs-01.jpg,downloaded,https://images.unsplash.com/photo-1778694277039-5cbf0b9a1fcf?auto=format&fit=crop&fm=jpg&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&ixlib=rb-4.1.0&q=60&w=3000,https://unsplash.com/photos/people-enjoying-a-candlelit-dinner-at-a-dimly-lit-restaurant-UEjjO-aJtZ8,https://unsplash.com/s/photos/one-long-candlelit-table%2C-dinner-party,Secret supper clubs,Long dinners,1,hero · category,"one long candlelit table, dinner party",Representative Unsplash category image of friends around a long candlelit dinner table; no single secret-club venue is implied.,2000,1333,298286
supperclubs-02.jpg,downloaded,https://images.unsplash.com/photo-1680079033073-860e3b9c2094?auto=format&fit=crop&fm=jpg&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&ixlib=rb-4.1.0&q=60&w=3000,https://unsplash.com/photos/a-long-table-set-up-with-candles-and-flowers-XgYb1OXCDG8,https://www.google.com/search?tbm=isch&q=one%20long%20candlelit%20table%2C%20dinner%20party%20Dubai,Secret supper clubs,Long dinners,2,carousel · category,"one long candlelit table, dinner party, Dubai if possible",Representative Unsplash category image of a flower-and-candle-set communal table; no Dubai venue is implied.,2000,1333,513058
