filename,status,actual_url,source_page,request_url,activity,chapter,slot,role,shot_wanted,notes,width,height,bytes
aquaventure-01.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Aquaventure_Waterpark-Dubai_UAE-Andres_Larin.jpg/1920px-Aquaventure_Waterpark-Dubai_UAE-Andres_Larin.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Aquaventure_Waterpark-Dubai_UAE-Andres_Larin.jpg,https://www.atlantis.com/dubai/experiences,Aquaventure,Rides and slides,1,hero · official,the signature wide shot,Wikimedia Commons visitor panorama; exact park context and strongest wide overview.,1920,1440,992726
aquaventure-02.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Aquaventure._The_Atlantis%2C_Dubai_%288973483064%29.jpg/1920px-Aquaventure._The_Atlantis%2C_Dubai_%288973483064%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Aquaventure._The_Atlantis,_Dubai_(8973483064).jpg",https://www.atlantis.com/dubai/experiences,Aquaventure,Rides and slides,2,carousel · official,"a second angle — interior, or the thing itself close up",Wikimedia Commons visitor photograph by Fabio Achilli; lagoon and slide-tower context.,1920,1352,938946
aquaventure-03.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Aquaventure._The_Atlantis%2C_Dubai_%288973483200%29.jpg/1920px-Aquaventure._The_Atlantis%2C_Dubai_%288973483200%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Aquaventure._The_Atlantis,_Dubai_(8973483200).jpg",https://www.tripadvisor.com/Search?q=Aquaventure%20Atlantis%2C%20The%20Palm,Aquaventure,Rides and slides,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Wikimedia Commons visitor photograph by Fabio Achilli; colorful family slide complex with guests.,1920,1363,982720
aquaventure-04.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Atlantis_Aquapark.JPG/1920px-Atlantis_Aquapark.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Atlantis_Aquapark.JPG,https://www.instagram.com/explore/tags/aquaventure,Aquaventure,Rides and slides,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Wikimedia Commons visitor photograph by Rokaszil; foliage-framed tower view substituted for inaccessible social source.,1920,1277,469927
aquaventure-05.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Aquaventure_Beach-Dubai_UAE-Andres_Larin.jpg/1920px-Aquaventure_Beach-Dubai_UAE-Andres_Larin.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Aquaventure_Beach-Dubai_UAE-Andres_Larin.jpg,https://www.google.com/search?tbm=isch&q=Aquaventure%20Atlantis%2C%20The%20Palm%20photos,Aquaventure,Rides and slides,5,carousel · any,whatever else is genuinely good,Wikimedia Commons visitor photograph; quiet private-beach counterpoint to the ride imagery.,1920,1440,684131
yaswaterworld-01.jpg,downloaded,https://static.myconnect.ae/-/media/yasconnect/project/yww/yww-phase2/smarthero/ext-1200x675-4.jpg,https://www.yaswaterworld.com/en/rides,https://www.yaswaterworld.com/,Yas Waterworld,Rides and slides,1,hero · official,the signature wide shot,Official Yas Waterworld rides-page photograph; crop-safe 16:9 raft action with guests and the waterpark clearly visible behind them.,1200,675,192938
yaswaterworld-02.jpg,downloaded,https://static.myconnect.ae/-/media/yasconnect/project/yww/home/smart-hero/bandits-bomberl-new-1366x410.jpg,https://www.yaswaterworld.com/,https://www.yaswaterworld.com/,Yas Waterworld,Rides and slides,2,carousel · official,"a second angle — interior, or the thing itself close up",Official Yas Waterworld CDN; Bandit Bomber coaster action.,1366,410,87258
yaswaterworld-03.jpg,downloaded,https://static.myconnect.ae/-/media/yasconnect/project/yww/rides/rides-new/falcons-falaj--1200x675.jpg,https://www.yaswaterworld.com/,https://www.tripadvisor.com/Search?q=Yas%20Waterworld%20Yas%20Island%2C%20Abu%20Dhabi,Yas Waterworld,Rides and slides,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Official Yas Waterworld CDN; close group raft action substitutes for inaccessible review photography.,1200,675,196648
yaswaterworld-04.jpg,downloaded,https://static.myconnect.ae/-/media/yasconnect/project/yww/home/1366x410/slithers-1366x410.jpg,https://www.yaswaterworld.com/,https://www.instagram.com/explore/tags/yaswaterworld,Yas Waterworld,Rides and slides,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Official Yas Waterworld CDN; wide Slither Slides action substitutes for inaccessible social source.,1366,410,127060
imgworlds-01.jpg,downloaded,https://cms.imgworlds.com/assets/411490cf-cb8e-4cb6-900f-a5a80600704b.jpg,https://www.imgworlds.com/zones/the-haunted-town,https://www.imgworlds.com/events,IMG Worlds · Haunted Town,Rides and slides,1,hero · official,the signature wide shot,Official IMG Worlds CMS photograph; exact Haunted Hotel scene with actors and frightened guests.,2000,1487,359046
