filename,status,actual_url,source_page,activity,slot,role,shot_wanted,notes
aquaventure-01.jpg,downloaded,"commons:File:Aquaventure Waterpark-Dubai UAE-Andres Larin.jpg",,Aquaventure,1,hero · official,the signature wide shot,Wikimedia Commons visitor panorama; exact park context and strongest wide overview.
aquaventure-02.jpg,downloaded,"commons:File:Aquaventure. The Atlantis, Dubai (8973483064).jpg",,Aquaventure,2,carousel · official,"a second angle — interior, or the thing itself close up",Wikimedia Commons visitor photograph by Fabio Achilli; lagoon and slide-tower context.
aquaventure-03.jpg,downloaded,"commons:File:Aquaventure. The Atlantis, Dubai (8973483200).jpg",,Aquaventure,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Wikimedia Commons visitor photograph by Fabio Achilli; colorful family slide complex with guests.
aquaventure-04.jpg,downloaded,commons:File:Atlantis Aquapark.JPG,,Aquaventure,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Wikimedia Commons visitor photograph by Rokaszil; foliage-framed tower view substituted for inaccessible social source.
aquaventure-05.jpg,downloaded,commons:File:Aquaventure Beach-Dubai UAE-Andres Larin.jpg,,Aquaventure,5,carousel · any,whatever else is genuinely good,Wikimedia Commons visitor photograph; quiet private-beach counterpoint to the ride imagery.
yaswaterworld-01.jpg,downloaded,https://static.myconnect.ae/-/media/yasconnect/project/yww/yww-phase2/smarthero/ext-1200x675-4.jpg,https://www.yaswaterworld.com/en/rides,Yas Waterworld,1,hero · official,the signature wide shot,Official Yas Waterworld rides-page photograph; crop-safe 16:9 raft action with guests and the waterpark clearly visible behind them.
yaswaterworld-02.jpg,downloaded,https://static.myconnect.ae/-/media/yasconnect/project/yww/home/smart-hero/bandits-bomberl-new-1366x410.jpg,https://www.yaswaterworld.com/,Yas Waterworld,2,carousel · official,"a second angle — interior, or the thing itself close up",Official Yas Waterworld CDN; Bandit Bomber coaster action.
yaswaterworld-03.jpg,downloaded,https://static.myconnect.ae/-/media/yasconnect/project/yww/rides/rides-new/falcons-falaj--1200x675.jpg,https://www.yaswaterworld.com/,Yas Waterworld,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Official Yas Waterworld CDN; close group raft action substitutes for inaccessible review photography.
yaswaterworld-04.jpg,downloaded,https://static.myconnect.ae/-/media/yasconnect/project/yww/home/1366x410/slithers-1366x410.jpg,https://www.yaswaterworld.com/,Yas Waterworld,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Official Yas Waterworld CDN; wide Slither Slides action substitutes for inaccessible social source.
imgworlds-01.jpg,downloaded,https://cms.imgworlds.com/assets/411490cf-cb8e-4cb6-900f-a5a80600704b.jpg,https://www.imgworlds.com/zones/the-haunted-town,IMG Worlds · Haunted Town,1,hero · official,the signature wide shot,Official IMG Worlds CMS photograph; exact Haunted Hotel scene with actors and frightened guests.
imgworlds-02.jpg,downloaded,https://cms.imgworlds.com/assets/22227f8e-5a4c-4e57-9d9e-7ad2d267173b.jpg,https://www.imgworlds.com/zones/the-haunted-town,IMG Worlds · Haunted Town,2,carousel · official,"a second angle — interior, or the thing itself close up",Official IMG Worlds CMS photograph; exact Haunted Hotel Store interior.
imgworlds-03.jpg,downloaded,commons:File:IMG Worlds of Adventure.jpg,,IMG Worlds · Haunted Town,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Wikimedia Commons visitor photograph by Jeremy Thompson; dark IMG Worlds interior context substituted because the 2026 event has not occurred.
imgworlds-04.jpg,downloaded,https://www.imgworlds.com/_next/static/media/bg.0d8dc893.jpg,https://www.imgworlds.com/zones/the-haunted-town,IMG Worlds · Haunted Town,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Official Haunted Town zone background showing the Haunted Hotel exterior; stylized prior-season context substituted for expiring social imagery.
wildwadi-01.jpg,downloaded,commons:File:Wild Wadi Water Park Dubai (42447604472).jpg,,Wild Wadi,1,hero · official,the signature wide shot,Wikimedia Commons visitor photograph by Jeremy Thompson; strongest crop-friendly overview of the full slide complex.
wildwadi-02.jpg,downloaded,commons:File:Wild Wadi Water Park Dubai (42448081332).jpg,,Wild Wadi,2,carousel · official,"a second angle — interior, or the thing itself close up",Wikimedia Commons visitor photograph by Jeremy Thompson; tight FlowRider action substitutes for the inaccessible official gallery.
wildwadi-03.jpg,downloaded,commons:File:Wild Wadi Water Park Dubai (42447702462).jpg,,Wild Wadi,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Wikimedia Commons visitor photograph by Jeremy Thompson; honest wave-pool scene with guests throughout the frame.
wildwadi-04.jpg,added,commons:File:Wild Wadi Water Park Dubai (41596434885).jpg,,Wild Wadi,4,carousel · candid,a differentiated additional visitor scene,Wikimedia Commons visitor photograph by Jeremy Thompson; colorful lazy-river scene adds a calmer counterpoint to the slides.
aquafun-01.jpg,downloaded,https://cdn.prod.website-files.com/6941455e72998bd71dc6f3f6/69483a417df6e13b19b9340a_Media%20container.webp,https://www.aquafun.ae/,AquaFun,1,hero · official,the signature wide shot,Official AquaFun photograph; obstacle-course overview framed by the JBR skyline.
aquafun-02.jpg,downloaded,https://cdn.prod.website-files.com/6941455e72998bd71dc6f3f6/694b458d117731e0cba7adc9_gallery3.webp,https://www.aquafun.ae/,AquaFun,2,carousel · official,"a second angle — interior, or the thing itself close up",Official AquaFun photograph; close joyful group portrait in lifejackets with the attraction behind them.
aquafun-03.jpg,downloaded,https://cdn.prod.website-files.com/6941455e72998bd71dc6f3f6/694851bc25f107360ba43890_7faff90daa61131354ec65a9d4e31f01_Img.webp,https://www.aquafun.ae/,AquaFun,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Official AquaFun gallery photograph; sunset boat scene with a small group substitutes for inaccessible review imagery.
ferrariworld-01.jpg,downloaded,commons:File:Ferrariworld by Flo Ness.jpg,,Ferrari World,1,hero · official,the signature wide shot,Wikimedia Commons aerial visitor photograph by Flo Ness; crop-friendly overview centered on the iconic red roof.
ferrariworld-02.jpg,downloaded,commons:File:Formula Rossa roller coaster.JPG,,Ferrari World,2,carousel · official,"a second angle — interior, or the thing itself close up",Wikimedia Commons visitor photograph; close Formula Rossa train in motion with riders clearly visible.
ferrariworld-03.jpg,downloaded,commons:File:Formula rossa-ferrari world-abu dhabi-2011.JPG,,Ferrari World,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Wikimedia Commons visitor photograph by Alberto-g-rovi; honest Formula Rossa loading-platform scene.
ferrariworld-04.jpg,downloaded,commons:File:Flying Aces 2.jpg,,Ferrari World,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Wikimedia Commons visitor photograph by Jeremy Thompson; Flying Aces train high on its inversion substitutes for inaccessible social imagery.
motiongate-01.jpg,downloaded,commons:File:Entrance of motiongate Dubai .jpg,,Motiongate,1,hero · official,the signature wide shot,Wikimedia Commons visitor photograph; strong blue-hour entrance view with guests and the illuminated studio-gate landmark.
motiongate-02.jpg,downloaded,commons:File:Motiongate Dubai - 41765343441.jpg,,Motiongate,2,carousel · official,"a second angle — interior, or the thing itself close up",Wikimedia Commons visitor photograph by Jeremy Thompson; richly lit Madagascar Mad Pursuit facade substitutes for the temporarily unavailable official gallery.
motiongate-03.jpg,downloaded,commons:File:Motiongate Dubai - 27896613508.jpg,,Motiongate,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Wikimedia Commons visitor photograph by Jeremy Thompson; close Smurfs coaster train with expressive guests.
stormcoaster-01.jpg,downloaded,https://www.intamin.com/wp-content/uploads/2022/03/DubaiHills-Indoor-Coaster-03.jpeg,https://www.intamin.com/project/the-storm-coaster/,The Storm Coaster,1,hero · official,the signature wide shot,Official manufacturer project photograph credited to Emaar Entertainment and Recreative; tall landscape view of the blue track inside the architectural shell.
stormcoaster-02.jpg,downloaded,https://www.intamin.com/wp-content/uploads/2022/03/FJ13290-copy-scaled.jpg,https://www.intamin.com/project/the-storm-coaster/,The Storm Coaster,2,carousel · official,"a second angle — interior, or the thing itself close up",Official manufacturer project photograph credited to Emaar Entertainment and Recreative; close ride train with guests mid-experience.
stormcoaster-03.jpg,downloaded,https://www.intamin.com/wp-content/uploads/2022/03/FJ12856-copy-scaled.jpg,https://www.intamin.com/project/the-storm-coaster/,The Storm Coaster,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Official manufacturer project photograph credited to Emaar Entertainment and Recreative; candid group portrait beneath the attraction sign.
skidubai-01.jpg,downloaded,https://maf-skidubai.sitefinity.cloud/images/default-source/activities/sd-slope-membership---1072x800.jpg?sfvrsn=4f84fdb3_1,https://www.skidxb.com/en-ae/ski-dubai/3-month-slope-membership,Ski Dubai,1,hero · official,the signature wide shot,Official Ski Dubai photograph; exact venue action with a skier carving across the indoor slope; centered card crops retain the skier's face and torso.
skidubai-02.jpg,downloaded,commons:File:Dubai-Ski-Dubai-11.JPG,,Ski Dubai,2,carousel · official,"a second angle — interior, or the thing itself close up",Wikimedia Commons visitor photograph by Ian and Wendy Sewell; distinct wide slope scene with skiers in motion.
skidubai-03.jpg,not_found,,,Ski Dubai,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Official Ski Dubai pages repeatedly timed out and the remaining attributable Commons set was dated, dim, duplicative, or exterior-only; retained the two strongest contiguous slots.
seaworldad-01.jpg,downloaded,https://static.myconnect.ae/-/media/yasconnect/project/swad/home/hero/hero-main1.png?h=1080&w=1920,https://www.seaworldabudhabi.com/,SeaWorld Abu Dhabi,1,hero · official,the signature wide shot,Official SeaWorld Abu Dhabi CDN hero; dramatic aquarium tunnel with guests for scale and a strong 16:9 crop.
seaworldad-02.jpg,downloaded,https://static.myconnect.ae/-/media/yasconnect/project/swad/stories/meet-the-newest-star/featured-story-thumbnail-en.jpg,https://www.seaworldabudhabi.com/,SeaWorld Abu Dhabi,2,carousel · official,"a second angle — interior, or the thing itself close up",Official SeaWorld Abu Dhabi photograph; intimate walrus-and-calf habitat scene.
seaworldad-03.jpg,downloaded,https://static.myconnect.ae/-/media/yasconnect/project/swad/20230724/dolphinecounter1-medium.jpg,https://www.seaworldabudhabi.com/,SeaWorld Abu Dhabi,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Official SeaWorld Abu Dhabi photograph; family dolphin encounter with clear human emotion and habitat context.
seaworldad-04.jpg,added,https://static.myconnect.ae/-/media/yasconnect/project/swad/explore/expeditions/penguin-encounter/penguin.png,https://www.seaworldabudhabi.com/,SeaWorld Abu Dhabi,4,carousel · official,a differentiated additional animal encounter,Official SeaWorld Abu Dhabi photograph; family and keepers meeting penguins in the polar habitat.
seaworldad-05.jpg,added,https://static.myconnect.ae/-/media/yasconnect/project/swad/home/sw-homepage-medium.jpg,https://www.seaworldabudhabi.com/,SeaWorld Abu Dhabi,5,carousel · official,a differentiated additional immersive scene,Official SeaWorld Abu Dhabi photograph; child engaging with a dramatic octopus habitat display.
olddubai-01.jpg,downloaded,commons:File:Dubai Gold Souk (8668422526).jpg,,"Old Dubai, souk to abra",1,hero · official,the signature wide shot,Wikimedia Commons visitor photograph by Rob Young; bright crop-friendly view down the Gold Souk arcade.
olddubai-02.jpg,downloaded,"commons:File:Gold Souk, Dubai4.jpg",,"Old Dubai, souk to abra",2,carousel · official,"a second angle — interior, or the thing itself close up",Wikimedia Commons visitor photograph by dconvertini; dense close-up of gold necklaces and bangles.
olddubai-03.jpg,downloaded,commons:File:Abra @ From Deira to Bur Dubai @ Dubai Creek (15886341865).jpg,,"Old Dubai, souk to abra",3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Wikimedia Commons visitor photograph by Guilhem Vellut; honest abra crossing packed with passengers.
olddubai-04.jpg,downloaded,"commons:File:Gold Souk, Dubai13.jpg",,"Old Dubai, souk to abra",4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Wikimedia Commons visitor photograph by dconvertini; colorful craft-and-textile storefront adds a different souk texture.
olddubai-05.jpg,downloaded,commons:File:Abras in Dubai Creek!.jpg,,"Old Dubai, souk to abra",5,carousel · any,whatever else is genuinely good,Wikimedia Commons visitor photograph by Phil6007; warm sunset lineup of traditional abras on Dubai Creek.
alserkal-01.jpg,downloaded,commons:File:Dubai Alserkal Avenue 2024-11-17.jpg,,Alserkal Avenue,1,hero · official,the signature wide shot,Wikimedia Commons visitor photograph by Fuzheado; recent crop-friendly view down the avenue with people and its industrial architecture.
alserkal-02.jpg,downloaded,commons:File:Alserkal Avenue Christina Pravi.jpg,,Alserkal Avenue,2,carousel · official,"a second angle — interior, or the thing itself close up",Wikimedia Commons visitor photograph by Christina Pravi; intimate string-lit hospitality interior within the district.
alserkal-03.jpg,not_found,,,Alserkal Avenue,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",The current official page exposes video rather than a still gallery; the small attributable Commons set yielded two strong distinct photographs and no third of comparable quality.
alserkal-04.jpg,not_found,,,Alserkal Avenue,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Instagram assets were not durably downloadable with exact provenance; remaining official CMS images were 400px venue tiles.
globalvillage-01.jpg,downloaded,https://gvprodbsgwebmobile.blob.core.windows.net/gvprodbstgconwebmobile/travel/files/2022-03/GV_S26_Dragon_Lake_000006.jpg,https://travel.globalvillage.ae/en/media-gallery,Global Village,1,hero · official,the signature wide shot,Official Global Village travel-trade photograph; vivid wide night panorama across Dragon Lake and the illuminated park.
globalvillage-02.jpg,downloaded,https://gvprodbsgwebmobile.blob.core.windows.net/gvprodbstgconwebmobile/travel/files/2022-03/GV_S26_Cultural_Gate_000003.jpg,https://travel.globalvillage.ae/en/media-gallery,Global Village,2,carousel · official,"a second angle — interior, or the thing itself close up",Official Global Village travel-trade photograph; richly colored cultural-gate architecture at night.
globalvillage-03.jpg,downloaded,https://gvprodbsgwebmobile.blob.core.windows.net/gvprodbstgconwebmobile/travel/files/2022-03/GV_S26_Celebration_Walk_000014.jpg,https://travel.globalvillage.ae/en/media-gallery,Global Village,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Official Global Village travel-trade photograph; guests walking beneath a dense canopy of festival lights.
globalvillage-04.jpg,downloaded,https://gvprodbsgwebmobile.blob.core.windows.net/gvprodbstgconwebmobile/travel/files/2022-03/GV_S26_Baloon_Sellers_000005.jpg,https://travel.globalvillage.ae/en/media-gallery,Global Village,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Official Global Village travel-trade photograph; colorful balloon sellers and open-air park atmosphere substitute for ephemeral social media.
artemarket-01.jpg,downloaded,https://arte.ae/wp-content/uploads/2025/01/ARTE-Market-Crowd.jpg,https://arte.ae/market-dates/,"ARTE, The Makers' Market",1,hero · official,the signature wide shot,Official ARTE market photograph; lively aisle of shoppers and independent stalls in a clean 4:3 composition.
artemarket-02.jpg,downloaded,https://arte.ae/wp-content/uploads/2022/09/ArteMarket-buy-handmade.jpg,https://arte.ae/market-dates/,"ARTE, The Makers' Market",2,carousel · official,"a second angle — interior, or the thing itself close up",Official ARTE market photograph; venue signage and handmade-market welcome display.
artemarket-03.jpg,not_found,,,"ARTE, The Makers' Market",3,carousel · candid,"a real visitor photo — people in frame, imperfect light",The official WordPress media library contained two distinct reusable market photographs; the remainder were duplicate crops, graphics, or unrelated venue images.
greenplanet-01.jpg,downloaded,commons:File:Green Planet Tree & Waterfall.jpg,,The Green Planet,1,hero · official,the signature wide shot,Wikimedia Commons visitor photograph by WikiSilky; lush landscape view of the biodome's central tree and waterfall.
greenplanet-02.jpg,downloaded,commons:File:Picture of Toucan taken at green planet.jpg,,The Green Planet,2,carousel · official,"a second angle — interior, or the thing itself close up",Wikimedia Commons visitor photograph by Lintophilip; exceptional close toucan portrait with rainforest context.
greenplanet-03.jpg,downloaded,commons:File:Green Planet Tree & Bridge.jpg,,The Green Planet,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Wikimedia Commons visitor photograph by WikiSilky; honest vertical interior view with visitors visible beneath the elevated walkways.
comptoir-01.jpg,downloaded,https://cdn.shopify.com/s/files/1/0680/4498/0444/files/gempages_507567412841808775-b93164e8-f42c-4632-8831-b00c7ecc7bda.jpg?v=1757492456,https://comptoir102.com/pages/concept-store-jumeirah-dubai,Comptoir 102,1,hero · official,the signature wide shot,Official Comptoir 102 concept-store photograph; warm crop-safe wide interior showing the boutique's clothing racks and eclectic homewares.
comptoir-02.jpg,downloaded,https://comptoir102.com/cdn/shop/files/gempages_507567412841808775-02008513-3834-45ac-ad21-e4ae0d4e2ea8.jpg?v=15335202795544512252,https://comptoir102.com/pages/concept-store-jumeirah-dubai,Comptoir 102,2,carousel · official,"a second angle — interior, or the thing itself close up",Official Comptoir 102 photograph; overhead breakfast spread adds the cafe side of the concept-store experience.
comptoir-03.jpg,not_found,,,Comptoir 102,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",The official gallery yielded two strong differentiated venue photographs; review and social imagery did not provide a durably downloadable candid with reliable provenance.
flipside-01.jpg,downloaded,"commons:File:Sonic Boom record store interior, Toronto 2026.jpg",,The Flip Side,1,hero · category,"record crates, hands flicking through vinyl",Wikimedia Commons category photograph by Chicken4War; crop-safe record-store interior with browsing customers substitutes for the venue's graphics-only official site.
