filename,status,actual_url,source_page,request_url,activity,chapter,slot,role,shot_wanted,notes,width,height,bytes
snoopy-01.jpg,downloaded,"https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=1440,h=756,fit=crop,f=jpeg/dOqbqlER9wtELn2p/photo-18-01-2015-4-30-13a-pm-YanBnMjjW7cDr6V9.jpg",https://divesandy.com/shore-dive-snoopy-island-sandy-beach-dive-academy,https://www.google.com/search?tbm=isch&q=Snorkelling%20at%20Snoopy%20Island%20Dubai,Snorkelling at Snoopy Island,Whole days elsewhere,1,hero · official,the signature wide shot,Exact official Snoopy Island shore-dive view with swimmers and snorkel gear; promoted to hero because it communicates the activity in both card and detail crops.,1440,756,233931
snoopy-02.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Pristine_blue_waters_of_Snoopy_Island.jpg/3840px-Pristine_blue_waters_of_Snoopy_Island.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Pristine_blue_waters_of_Snoopy_Island.jpg,https://www.google.com/search?tbm=isch&q=Snorkelling%20at%20Snoopy%20Island%20Dubai,Snorkelling at Snoopy Island,Whole days elsewhere,2,carousel · official,"a second angle — interior, or the thing itself close up",Exact Snoopy Island beach view; Commons creator and reuse terms are on the source page.,2000,1500,513443
snoopy-03.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Fujairah_Beach.jpg/3840px-Fujairah_Beach.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Fujairah_Beach.jpg,https://www.tripadvisor.com/Search?q=Snorkelling%20at%20Snoopy%20Island%20Al%20Aqah%2C%20Fujairah,Snorkelling at Snoopy Island,Whole days elsewhere,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Exact visitor-in-the-water view toward Snoopy Island; used as the candid activity context.,2000,1328,434937
snoopy-04.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Snoopy_Island_Long_Exposure.jpg/3840px-Snoopy_Island_Long_Exposure.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Snoopy_Island_Long_Exposure.jpg,https://www.instagram.com/explore/tags/snorkellingatsnoopyisland,Snorkelling at Snoopy Island,Whole days elsewhere,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Exact atmospheric view of Snoopy Island; used in place of an inaccessible tagged social post.,2000,1333,135725
musandam-01.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Khor_Ash_Sham_%2838529258240%29.jpg/3840px-Khor_Ash_Sham_%2838529258240%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Khor_Ash_Sham_(38529258240).jpg,https://sheesabeach.com/liveaboard/,Musandam by dhow,Whole days elsewhere,1,hero · official,the signature wide shot,Exact Musandam dhow-and-fjords hero; Commons creator and reuse terms are on the source page.,2000,1333,377132
musandam-02.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Dhow_Cruise%2C_Khasab%2C_Oman_-_panoramio_%282%29.jpg/3840px-Dhow_Cruise%2C_Khasab%2C_Oman_-_panoramio_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Dhow_Cruise,_Khasab,_Oman_-_panoramio_(2).jpg",https://sheesabeach.com/liveaboard/,Musandam by dhow,Whole days elsewhere,2,carousel · official,"a second angle — interior, or the thing itself close up",Exact Khasab dhow-cruise scene with multiple boats and passengers.,2000,1500,585027
musandam-03.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Full_Day_Dhow_Cruise_in_Khasab_Musandam.jpg/3840px-Full_Day_Dhow_Cruise_in_Khasab_Musandam.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Full_Day_Dhow_Cruise_in_Khasab_Musandam.jpg,https://www.tripadvisor.com/Search?q=Musandam%20by%20dhow%20Dibba%2C%20Oman,Musandam by dhow,Whole days elsewhere,3,carousel · candid,"a real visitor photo — people in frame, imperfect light",Exact candid passenger view aboard a traditional Musandam dhow.,2000,1333,290409
musandam-04.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Musandam_Dhow_Cruise_%2815992601694%29.jpg/3840px-Musandam_Dhow_Cruise_%2815992601694%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Musandam_Dhow_Cruise_(15992601694).jpg,https://www.instagram.com/explore/tags/musandambydhow,Musandam by dhow,Whole days elsewhere,4,carousel · candid,"something from the venue's own Instagram, or a tagged post",Exact on-the-water Musandam fjord context; used in place of an inaccessible tagged social post.,2000,1339,509211
musandam-05.jpg,downloaded,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Dhow_trip_in_the_fjords_of_Musandam%2C_Oman_%2836208084624%29.jpg/3840px-Dhow_trip_in_the_fjords_of_Musandam%2C_Oman_%2836208084624%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Dhow_trip_in_the_fjords_of_Musandam,_Oman_(36208084624).jpg",https://www.google.com/search?tbm=isch&q=Musandam%20by%20dhow%20Dibba%2C%20Oman%20photos,Musandam by dhow,Whole days elsewhere,5,carousel · any,whatever else is genuinely good,"Exact wide fjord view from a dhow trip, compositionally distinct from the boat portraits.",2000,1040,271007
hatta-01.jpg,downloaded,https://cdn.prod.website-files.com/64ffd6c42ea5a246c5d6cc3e/694e64ca1b61aa249d4f8c16_hatta%20wadi%20hub.png,https://www.visithatta.com/en/offer/hatta-wadi-hub,https://www.visithatta.com/en/things-to-do/hatta-wadi-hub,Hatta,Whole days elsewhere,1,hero · official,the signature wide shot,Exact official Hatta Wadi Hub mountain-biking hero.,1920,1281,333853
